date_time,temperature,humidity,,,AC_SUB_2021_84
6/1/21 12:00 AM,87,17,,,0.103200004
6/1/21 12:15 AM,86.75,17.25,,,0.108000003
6/1/21 12:30 AM,86.5,17.5,,,0.105599999
6/1/21 12:45 AM,86.25,17.75,,,0.064800002
6/1/21 1:00 AM,86,18,,,0.009600001
6/1/21 1:15 AM,85.25,18.25,,,0.0072
6/1/21 1:30 AM,84.5,18.5,,,0.0072
6/1/21 1:45 AM,83.75,18.75,,,0.0072
6/1/21 2:00 AM,83,19,,,0.009600001
6/1/21 2:15 AM,82.5,19.75,,,0.0048
6/1/21 2:30 AM,82,20.5,,,0.009600001
6/1/21 2:45 AM,81.5,21.25,,,0.0072
6/1/21 3:00 AM,81,22,,,0.0072
6/1/21 3:15 AM,80.75,22.5,,,0.009600001
6/1/21 3:30 AM,80.5,23,,,0.0072
6/1/21 3:45 AM,80.25,23.5,,,0.0072
6/1/21 4:00 AM,80,24,,,0.0072
6/1/21 4:15 AM,79.75,24.25,,,0.009600001
6/1/21 4:30 AM,79.5,24.5,,,0.0072
6/1/21 4:45 AM,79.25,24.75,,,0.0072
6/1/21 5:00 AM,79,25,,,0.0072
6/1/21 5:15 AM,79.5,24.25,,,0.009600001
6/1/21 5:30 AM,80,23.5,,,0.0072
6/1/21 5:45 AM,80.5,22.75,,,0.0072
6/1/21 6:00 AM,81,22,,,0.0072
6/1/21 6:15 AM,81.5,21.75,,,0.0072
6/1/21 6:30 AM,82,21.5,,,0.009600001
6/1/21 6:45 AM,82.5,21.25,,,0.0072
6/1/21 7:00 AM,83,21,,,0.0072
6/1/21 7:15 AM,84,20.25,,,0.0072
6/1/21 7:30 AM,85,19.5,,,0.009600001
6/1/21 7:45 AM,86,18.75,,,0.0072
6/1/21 8:00 AM,87,18,,,0.0072
6/1/21 8:15 AM,88,17.25,,,0.0072
6/1/21 8:30 AM,89,16.5,,,0.009600001
6/1/21 8:45 AM,90,15.75,,,0.0072
6/1/21 9:00 AM,91,15,,,0.0072
6/1/21 9:15 AM,91.5,14.75,,,0.0072
6/1/21 9:30 AM,92,14.5,,,0.655200005
6/1/21 9:45 AM,92.5,14.25,,,0.129600003
6/1/21 10:00 AM,93,14,,,0.875999987
6/1/21 10:15 AM,93.5,13.5,,,0.458400011
6/1/21 10:30 AM,94,13,,,0.815999985
6/1/21 10:45 AM,94.5,12.5,,,0.984000027
6/1/21 11:00 AM,95,12,,,0.019200001
6/1/21 11:15 AM,95.75,11.75,,,0.741599977
6/1/21 11:30 AM,96.5,11.5,,,0.0024
6/1/21 11:45 AM,97.25,11.25,,,0.609600008
6/1/21 12:00 PM,98,11,,,0.316799998
6/1/21 12:15 PM,98.75,11,,,1.252799988
6/1/21 12:30 PM,99.5,11,,,0.463200003
6/1/21 12:45 PM,100.25,11,,,0.0072
6/1/21 1:00 PM,101,11,,,0.0072
6/1/21 1:15 PM,100.75,10.75,,,0.56160003
6/1/21 1:30 PM,100.5,10.5,,,0.487199992
6/1/21 1:45 PM,100.25,10.25,,,0.600000024
6/1/21 2:00 PM,100,10,,,1.07280004
6/1/21 2:15 PM,100.75,9.75,,,0.424800009
6/1/21 2:30 PM,101.5,9.5,,,0.80400002
6/1/21 2:45 PM,102.25,9.25,,,1.425600052
6/1/21 3:00 PM,103,9,,,1.759199977
6/1/21 3:15 PM,102.75,8.75,,,1.185600042
6/1/21 3:30 PM,102.5,8.5,,,2.987999916
6/1/21 3:45 PM,102.25,8.25,,,1.329599977
6/1/21 4:00 PM,102,8,,,2.349600077
6/1/21 4:15 PM,101.75,8.25,,,0.820800006
6/1/21 4:30 PM,101.5,8.5,,,0.602400005
6/1/21 4:45 PM,101.25,8.75,,,0.556800008
6/1/21 5:00 PM,101,9,,,1.557600021
6/1/21 5:15 PM,101,9,,,1.235999942
6/1/21 5:30 PM,101,9,,,2.157599926
6/1/21 5:45 PM,101,9,,,1.605599999
6/1/21 6:00 PM,101,9,,,2.234400034
6/1/21 6:15 PM,100.5,9.25,,,1.353600025
6/1/21 6:30 PM,100,9.5,,,1.653599978
6/1/21 6:45 PM,99.5,9.75,,,1.627200007
6/1/21 7:00 PM,99,10,,,0.885599971
6/1/21 7:15 PM,98,10.5,,,0.693599999
6/1/21 7:30 PM,97,11,,,1.111199975
6/1/21 7:45 PM,96,11.5,,,0.50880003
6/1/21 8:00 PM,95,12,,,1.123200059
6/1/21 8:15 PM,94.5,12.25,,,0.684000015
6/1/21 8:30 PM,94,12.5,,,0.624000013
6/1/21 8:45 PM,93.5,12.75,,,0.758400023
6/1/21 9:00 PM,93,13,,,0.645600021
6/1/21 9:15 PM,92.75,13,,,1.108800054
6/1/21 9:30 PM,92.5,13,,,0.444000006
6/1/21 9:45 PM,92.25,13,,,0.928799987
6/1/21 10:00 PM,92,13,,,0.640799999
6/1/21 10:15 PM,91.75,12.75,,,0.489600003
6/1/21 10:30 PM,91.5,12.5,,,0.801599979
